Rank in 2020,Rank in 2019,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
  78=,74,Durham University,United Kingdom,L,FC,VH,5,A,57.3,130,91.2,44,35.9,435,77.9,63,97.2,113,87.2,122,64.2
  78=,  75=,The University of Sheffield,United Kingdom,L,FC,VH,5,A,61.3,114,58.7,132,61,237,61.4,139,87.9,179,94.1,86,64.2
80,81,Katholieke Universiteit Leuven,Belgium,XL,FC,VH,5,A,79.1,67,64.3,112,11.8,601+,85.3,44,90,168,37.5,366,64.1
81,  79=,University of Birmingham,United Kingdom,L,FC,VH,5,A,65.6,97,78.8,79,54.8,272,49.3,237,91.8,154,85.7,125,64
81,  79=,University of Copenhagen,Denmark,XL,FC,VH,5,A,70.1,85,43.9,209,100,23,25.5,479,92.6,148,29.4,435,63.8
82,77,Tohoku University,Japan,L,FC,VH,5,A,69.5,88,59.1,130,98.2,42,43.1,299,12.7,601+,17.6,558,63.7
83,86,Korea University,South Korea,L,FC,VH,5,B,70,86,85,59,83.1,126,35.4,381,15.2,601+,44.7,317,63.4
  83=,85,The University of Auckland,New Zealand,L,FC,VH,5,A,84.2,59,62.8,120,25,579,44.8,281,94.4,137,91.8,100,63.4
84,90,Lomonosov Moscow State University,Russia,XL,FC,VH,5,A,73.6,77,84.9,60,99.7,34,7.2,601+,18,571,56.1,260,63.2
85,  87=,Rice University,United States,M,FC,VH,5,B,40.1,203,22.7,414,84,123,93.6,26,89.8,170,90.6,106,63.1
86,91,The University of Western Australia (UWA),Australia,L,FC,VH,5,A,62.4,107,59.8,127,20.8,601+,88.3,39,100,30,98.7,44,62.9
87,  83=,Pohang University of Science and Technology (POSTECH),South Korea,S,FO,VH,3,B,41.3,194,40.8,233,99.9,27,99.3,9,35.3,423,3.6,601+,62.6
89,98,University of Science and Technology of China,China,L,CO,VH,4,A,56.2,132,26.1,362,81.1,140,98.5,14,16.9,588,5.7,601+,62.3
90,  83=,"University of North Carolina, Chapel Hill",United States,XL,FC,VH,5,A,68.7,90,53.3,153,88.3,91,46,267,35.6,422,11.3,601+,62.2
91,106,The Hong Kong Polytechnic University,Hong Kong,L,CO,VH,3,A,61.3,113,43.7,213,74.1,173,46.3,261,100,50,74.8,165,61.9
92,92,Lund University,Sweden,L,FC,VH,5,A,69.6,87,54.3,147,50.1,303,51.9,206,89.3,174,70.1,183,61.8
  93=,95,Pennsylvania State University,United States,XL,FC,VH,5,A,76.5,71,80.4,76,31.6,478,67.8,104,21.4,533,38.6,353,61.7
  93=,  93=,University of Leeds,United Kingdom,XL,FC,VH,5,A,69.2,89,81.2,73,45.5,328,41.6,316,84.1,197,81.8,139,61.7
95,  100=,Sungkyunkwan University,South Korea,L,FC,VH,5,B,58.4,126,74.6,87,85.7,104,49.3,236,21.3,535,38.1,358,61
96,82,The University of Nottingham,United Kingdom,XL,FC,VH,5,A,60.3,120,73.2,91,52.4,290,49.7,234,92.1,152,82.1,137,60.8
97,96,University of Southampton,United Kingdom,L,FC,VH,5,A,50.8,155,52.5,157,59,248,68.1,101,96.1,122,92.8,97,60.6
  98=,  93=,Boston University,United States,L,FC,VH,5,B,63.1,103,57.5,138,53.8,276,62.1,132,33.8,435,88.6,115,60.5
  98=,  104=,"KTH, Royal Institute of Technology",Sweden,L,CO,VH,5,A,47.5,166,68.4,102,63,229,72.8,82,96.9,116,48.7,297,60.5
100,97,University of St Andrews,United Kingdom,M,FC,VH,5,A,45.2,176,51.6,162,65.3,217,67.4,106,98.7,86,99.8,28,59.9
101,89,Ohio State University,United States,XL,FC,VH,5,A,63.8,101,67.3,105,66.7,209,41.3,318,81.1,213,27.6,456,59.5
102,99,Eindhoven University of Technology,Netherlands,M,FO,VH,4,A,30.9,270,65.9,108,62.5,231,97.1,18,98.3,95,57.5,247,58.9
103,113,Universidad Nacional AutÛnoma de MÈxico (UNAM),Mexico,XL,FC,VH,5,A,90.9,40,91,46,57.6,256,3.8,601+,13.8,601+,4.3,601+,58.8
  104=,  100=,"University of California, Davis (UCD)",United States,XL,FC,VH,5,A,70.3,84,33.9,284,23.3,601+,80.4,54,65.3,268,60.6,233,58.7
  104=,107,Yonsei University,South Korea,L,FC,VH,5,B,62.9,104,78.3,80,85,114,30.6,432,15.4,601+,33.1,404,58.7
106,114,The University of Adelaide,Australia,L,FC,VH,5,A,59.3,121,43.7,211,28.5,528,73.7,75,99,81,99.1,39,58.6
107,110,University of Helsinki,Finland,L,CO,VH,5,A,64.5,99,54.8,146,66.8,208,51.5,214,58.1,305,6.8,601+,58.4
  108=,  104=,Trinity College Dublin (TCD),Ireland,L,FC,VH,5,A,62,109,51.2,167,35.8,438,56.8,166,99.5,69,93.5,92,58.3
  108=,  100=,Washington University in St. Louis,United States,L,FC,VH,5,B,43.8,182,18.8,489,99.8,32,59.2,147,78.9,223,59.3,236,58.3
110,108,University of Geneva,Switzerland,L,FC,VH,5,A,51.1,152,23.7,395,52.6,287,73.6,76,100,37,97.8,56,58.1
111,  100=,Purdue University,United States,XL,FC,VH,5,A,63.8,102,68.9,100,30.9,490,55.6,179,97.1,115,61.1,231,57.8
112,112,Technical University of Denmark,Denmark,M,FO,VH,5,A,30.5,274,27.1,346,99.9,24,65.9,115,99.5,67,83,131,57.4
113,109,University of Alberta,Canada,XL,FC,VH,5,A,58,128,41.4,228,57,260,48.8,244,91.6,156,80.8,145,57.3
114,120,University of Groningen,Netherlands,L,FC,VH,5,A,50.6,156,24.5,383,67.9,202,51.8,208,90.9,162,94.6,84,56.1
115,111,Nagoya University,Japan,L,FC,VH,5,A,60.5,118,38.6,246,90.6,79,37.3,361,17.7,578,21.3,513,55.8
  116=,118,Universidade de S„o Paulo (USP),Brazil,XL,FC,VH,4,A,88.3,47,73.3,90,25.2,577,35.2,384,8.9,601+,3.7,601+,55.5
  116=,117,Uppsala University,Sweden,L,FC,VH,5,A,65.8,96,32.6,293,46.2,319,56.9,165,65.5,265,37.1,370,55.5
118,  122=,Leiden University,Netherlands,XL,FC,VH,5,A,67.6,93,30.5,317,29.7,510,64.1,124,81,214,47,303,55.4
119,135,University of Oslo,Norway,L,FC,VH,5,A,52.6,146,22.3,417,77.7,155,49.2,239,87.2,182,30.5,425,54.7
  120=,121,Humboldt-Universit‰t zu Berlin,Germany,XL,FC,HI,5,A,88.3,49,54,148,12.2,601+,33.9,394,52.9,322,34.6,393,54.5
  120=,  122=,Nanjing University,China,XL,FC,VH,5,A,60.7,117,30.3,318,31,487,84.2,47,68.6,258,11.1,601+,54.5
  120=,124,Utrecht University,Netherlands,XL,FC,VH,5,A,62.8,105,32.3,299,42.5,361,66,113,56.7,309,28.1,452,54.5
123,139,University of Bern,Switzerland,M,CO,VH,5,A,30.3,278,38.2,250,63.7,224,90.6,30,100,40,46.6,307,54.3
124,116,"KIT, Karlsruher Institut f¸r Technologie",Germany,L,CO,VH,4,A,46.3,172,88.9,54,29.5,514,72.6,83,60,294,64.3,215,54.2
  125=,  128=,Chalmers University of Technology,Sweden,M,CO,VH,5,B,30.5,273,61.4,122,66.3,212,73.1,78,96.8,118,56,261,54
125,125,Wageningen University,Netherlands,L,FO,VH,5,A,37.4,221,22,424,95.6,58,57.7,159,38.6,406,82.1,138,54
126,119,Queen Mary University of London (QMUL),United Kingdom,L,FC,VH,5,A,52.6,145,41.9,225,34.4,452,58.8,150,98.5,90,97.9,55,53.9
127,  132=,Pontificia Universidad CatÛlica de Chile,Chile,L,FC,VH,5,B,85.2,56,95.5,30,28.6,524,13.6,601+,19.4,554,4.2,601+,53.4
128,131,Lancaster University,United Kingdom,L,FC,VH,4,A,40.4,201,27,347,52.5,288,70.6,91,94.5,134,97.3,60,53.2
129,115,University of Southern California,United States,XL,FC,VH,5,B,58.5,125,60,126,28.7,523,64.5,121,21.7,528,75,164,53.1
  130=,130,Freie Universit‰t Berlin,Germany,XL,FC,HI,4,A,80.2,64,49,174,5.4,601+,46,268,62.8,279,49.4,292,53
  130=,138,University of Ghent,Belgium,XL,FC,VH,5,A,51.9,147,31.7,302,84.2,121,39,334,65.2,269,20.1,532,53
  132=,  128=,Hokkaido University,Japan,L,FC,VH,5,A,56.3,131,47.1,187,84.4,119,34.2,391,20,548,15,592,52.9
  132=,  126=,Kyushu University,Japan,L,FC,VH,5,A,55.5,133,49.2,172,85.6,106,32.6,411,18.6,565,21.5,509,52.9
134,140,Aalto University,Finland,L,FO,VH,1,A,40.1,204,47.4,181,55.6,265,69.9,94,90.1,167,37.4,369,52.4
135,  132=,"University of California, Santa Barbara (UCSB)",United States,L,CO,VH,5,A,62.5,106,20.1,456,14.8,601+,86.2,43,69.1,255,29.6,432,52.3
136,  126=,"University of Maryland, College Park",United States,XL,FC,VH,5,A,54.1,140,34.8,275,50.9,298,70,93,26.4,491,26.5,464,52.1
137,  149=,UniversitÈ de MontrÈal,Canada,XL,FC,VH,5,A,55.2,135,55.5,144,55.4,266,27.5,453,91.1,160,61.8,225,52
138,144,Rheinisch-Westf‰lische Technische Hochschule Aachen,Germany,XL,FC,VH,5,A,55.3,134,97.2,24,13,601+,59,149,42.4,381,68.2,191,51.9
139,137,CentraleSupÈlec,France,S,FO,VH,1,A,15.8,501+,100,6,88.7,87,45.4,275,72.1,243,90.1,110,51.4
  140=,146,McMaster University,Canada,L,FC,VH,5,A,40.4,200,42.5,223,85,112,32.4,413,97.9,104,45.1,314,51.2
  140=,136,University of Pittsburgh,United States,L,FC,VH,5,A,44.6,179,21.9,426,96.2,57,49,242,15.3,601+,23.6,491,51.2
  140=,  160=,University of Technology Sydney (UTS),Australia,L,CO,VH,3,A,44.3,181,80.6,75,10.1,601+,68.2,99,98.3,97,93.8,88,51.2
144,  141=,Michigan State University,United States,XL,FC,VH,5,A,61.9,111,65.8,109,18.6,601+,54.4,186,63.8,277,36.2,377,51.1
145,  141=,Aarhus University,Denmark,L,FC,VH,4,A,52.9,144,45.7,197,38,409,62.7,129,81.7,210,17.6,560,51
146,  141=,Newcastle University,United Kingdom,L,FC,VH,4,A,41,195,73.7,89,47.7,310,43.4,294,89.9,169,84.7,128,50.9
147,147,Technische Universit‰t Berlin,Germany,L,CO,VH,5,A,53.9,141,77.7,81,47.6,311,30.2,434,42,382,69.3,187,50.6
148,134,University of York,United Kingdom,L,FC,VH,4,A,42,187,40.8,234,56.8,261,51.3,217,91,161,66,202,50.5
149,  156=,Politecnico di Milano,Italy,XL,FO,VH,5,A,60.4,119,84.3,61,6.3,601+,56.9,164,44.6,364,54.5,269,50.4
150,  151=,Hanyang University,South Korea,L,FC,VH,4,B,46.8,169,68.4,103,77.2,161,30.8,431,25.4,496,34.8,390,50.3
151,  160=,University of Basel,Switzerland,M,FC,VH,5,A,30.4,277,25,378,37.8,410,91.3,28,100,24,86.4,124,50
152,162,Indian Institute of Technology Bombay (IITB),India,M,CO,VH,4,A,54.5,138,71.2,95,45.8,326,54.6,184,3.4,601+,1.6,601+,49.4
153,  149=,University of Lausanne,Switzerland,L,CO,VH,5,A,35.3,234,23,411,68.4,200,52.8,200,99.2,76,69,188,49.2
  154=,145,Cardiff University,United Kingdom,L,FC,VH,5,A,48.6,160,38.3,249,52.5,289,37.9,348,79.1,222,69.8,184,49
  154=,  175=,Universit‰t Wien,Austria,XL,FC,VH,5,A,64.4,100,47.3,182,26.2,566,17.9,587,98.3,94,92.5,99,49
  156=,148,Emory University,United States,L,FC,VH,5,B,26.9,312,11.8,501+,99.7,35,59.1,148,49.4,338,45.2,311,48.6
  156=,  156=,University of Minnesota,United States,XL,FC,VH,5,A,66.2,95,26.1,360,31.9,476,58.2,156,6.9,601+,18.8,545,48.6
158,178,TecnolÛgico de Monterrey (ITESM),Mexico,L,FC,HI,4,B,36.9,226,88.9,53,89.5,82,4.6,601+,98.2,98,18.4,549,48.5
159,202,Universiti Putra Malaysia (UPM),Malaysia,L,FC,VH,3,A,44.8,177,44.4,204,73.2,178,20.9,541,58.8,300,82.3,135,48.4
  160=,153,Ecole Normale SupÈrieure de Lyon,France,S,CO,VH,5,A,35.4,232,10.4,501+,97,50,47.9,250,59.5,298,20.3,526,48.3
  160=,  184=,Universiti Kebangsaan Malaysia (UKM),Malaysia,L,FC,VH,3,A,50.9,153,44.7,203,87.8,95,13.1,601+,24,510,38.9,351,48.3
162,  154=,Hebrew University of Jerusalem,Israel,L,FC,VH,5,A,39.4,206,38.5,247,77.9,153,43.4,295,71.1,247,11.6,601+,48.2
  163=,171,University of Bergen,Norway,M,FC,VH,4,A,34.1,247,13,501+,79.5,147,60.8,141,88.6,177,10.1,601+,48.1
  163=,  154=,University of Exeter,United Kingdom,L,FC,VH,4,A,38.8,214,57.2,139,41.5,370,49,241,92,153,80.6,146,48.1
  165=,166,Universitat de Barcelona (UB),Spain,XL,FC,VH,5,A,71.8,80,45.5,198,32.5,466,29.8,435,5.8,601+,33.8,401,47.9
  165=,207,Universiti Sains Malaysia (USM),Malaysia,L,FC,VH,4,A,49.6,158,52.5,158,74.9,165,17.7,594,37.5,411,46,309,47.9
167,  186=,Case Western Reserve University,United States,M,FC,VH,5,B,19.9,415,17.1,501+,92,74,65.8,116,53.7,317,73.9,171,47.8
  167=,165,UniversitÈ Catholique de Louvain (UCL),Belgium,L,FC,VH,3,B,51.3,150,45.5,199,10.4,601+,68.4,98,89,176,44.7,318,47.7
  167=,  180=,University of Florida,United States,XL,FC,VH,5,A,50.9,154,48.3,176,74,174,29.6,440,18.7,563,13,601+,47.7
  169=,168,Eberhard Karls Universit‰t T¸bingen,Germany,L,FC,VH,5,A,46.3,171,25.7,372,89.4,83,17.8,592,59.7,297,32.1,412,47.3
  169=,  186=,Universit‰t Freiburg,Germany,L,FC,VH,5,A,53,143,24.4,386,38.6,402,50.6,221,64.9,271,48.3,300,47.3
  170=,  184=,University of Rochester,United States,M,FC,VH,5,B,25,332,7.4,501+,100,18,42.4,307,67.3,260,90.6,107,47.3
172,158,University of Bath,United Kingdom,L,CO,VH,4,A,36.9,225,63,119,25.6,572,56,173,98.2,100,90.7,105,47
  173=,  163=,National Tsing Hua University,Taiwan,L,CO,VH,4,A,47.5,165,59.6,129,32.2,470,65.8,116,24.6,506,18,552,46.8
  173=,  180=,Queen's University of Belfast,United Kingdom,L,FC,VH,5,A,28.9,294,36,268,43.5,351,64.9,120,99.5,71,96.5,68,46.8
  173=,  163=,University of Waterloo,Canada,XL,CO,VH,4,A,39.3,208,76.5,85,7.6,601+,68.5,97,77.6,225,84.1,129,46.8
176,  175=,University of Otago,New Zealand,L,FC,VH,5,A,51.7,148,41.4,229,19.6,601+,48.2,247,100,33,62.9,219,46.7
  177=,167,Scuola Superiore Sant'Anna Pisa,Italy,S,FC,VH,3,,14.6,501+,8,501+,86.2,100,99.3,10,2.1,601+,52.5,277,46.6
  177=,  180=,Universit‡ di Bologna (UNIBO),Italy,XL,FC,VH,5,A,74.7,74,46.3,194,6,601+,46.8,257,14,601+,13.5,601+,46.6
  179=,191,Technische Universit‰t Dresden,Germany,XL,FC,VH,5,A,35.8,230,69.7,99,84.6,117,21.3,536,38.5,407,37.5,365,46.4
181,  164=,University of Liverpool,United Kingdom,L,FC,VH,5,A,42.2,185,32.9,292,50.5,299,34.4,389,86.5,184,93.4,93,46.3
182,  172=,Indian Institute of Technology Delhi (IITD),India,M,CO,VH,4,A,46.8,168,63,118,23.3,601+,80.6,52,3.3,601+,1.5,601+,46.2
183,179,Erasmus University Rotterdam,Netherlands,L,FO,VH,5,A,35.2,237,53.5,150,42.6,358,53.7,189,75.3,234,68.9,189,46.1
184,170,Indian Institute of Science (IISc) Bangalore,India,S,SP,VH,5,A,33.3,254,16.2,501+,53.2,280,100,2,1.5,601+,1.8,601+,45.9
185,  193=,University College Dublin (UCD),Ireland,L,FC,VH,5,A,46,173,42.6,221,31.2,484,42.4,306,97.6,110,64.4,214,45.6
  186=,  231=,King Abdul Aziz University (KAU),Saudi Arabia,XL,FC,VH,4,A,28.5,298,36.8,260,71.3,190,38.6,339,99,80,60.6,234,45.2
  186=,  172=,University of Twente,Netherlands,M,FO,VH,4,A,21.1,391,35.1,271,39.8,387,81.2,51,94.4,136,83,132,45.2
188,  193=,Universitat AutÛnoma de Barcelona,Spain,XL,FC,VH,4,A,61.1,115,38.4,248,14.1,601+,54.7,183,30.7,455,26.6,460,45.1
  189=,203,Texas A&M University,United States,XL,FC,VH,5,A,60.9,116,59.7,128,13.5,601+,50.6,222,20.3,545,12.7,601+,45
  189=,  208=,Universidad de Chile,Chile,XL,FC,VH,5,A,71.6,81,90.8,47,16.3,601+,14.5,601+,10.1,601+,8.4,601+,45
191,  200=,Stockholm University,Sweden,L,CO,VH,5,A,54.7,137,16.8,501+,34.7,451,46.2,263,82.3,206,15.7,589,44.8
