2019,2018,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
11,15,NATIONAL UNIVERSITY OF SINGAPORE (NUS),Singapore,XL,FC,VH,5,A,99.8,11,99.1,18,91.8,79,72.8,87,100,24,80.7,144,92
12,11,NANYANG TECHNOLOGICAL UNIVERSITY (NTU),Singapore,L,FC,VH,3,A,90.3,38,92.6,43,95,64,87.5,46,100,22,83.5,132,91.3
13,13,PRINCETON UNIVERSITY,United States,M,CO,VH,5,B,99.9,10,96.7,25,70.3,197,100,4,70.1,248,69.2,196,90.9
14,14,CORNELL UNIVERSITY,United States,L,FC,VH,5,B,98.7,20,90.5,48,70.4,195,95.9,22,93.3,142,77,160,90.5
15,16,YALE UNIVERSITY,United States,L,FC,VH,5,B,99.9,9,99.7,11,100,5,60.2,156,86.3,186,61.2,236,89.6
16,18,COLUMBIA UNIVERSITY,United States,L,FC,VH,5,B,99.7,12,97.4,23,100,19,59.2,167,40.4,377,96.2,72,88.5
17,25,TSINGHUA UNIVERSITY,China,XL,FC,VH,5,A,97,27,99.4,14,91.5,80,77.4,70,60.6,288,29.2,440,87.2
18,  23=,UNIVERSITY OF EDINBURGH,United Kingdom,L,FC,VH,5,A,97.3,24,94,34,85.5,114,57.2,181,97.4,107,98.8,45,86.9
19,19,UNIVERSITY OF PENNSYLVANIA,United States,L,FC,VH,5,B,95.4,32,92.6,42,100,15,59.7,164,72.1,239,65.2,219,86.5
20,  21=,UNIVERSITY OF MICHIGAN,United States,XL,FC,VH,5,A,98.9,17,90.2,49,94.3,69,60.5,153,82.3,200,49.8,291,86.4
21,17,JOHNS HOPKINS UNIVERSITY,United States,L,FC,VH,5,B,89.7,40,56.9,136,100,13,80.2,61,79.9,209,81.6,140,85.9
22,12,…COLE POLYTECHNIQUE F…D…RALE DE LAUSANNE (EPFL),Switzerland,M,FO,VH,5,A,72.8,76,78.2,82,94.5,67,98.9,14,100,14,100,12,85.8
23,  28=,THE UNIVERSITY OF TOKYO,Japan,L,FC,VH,5,A,100,7,99.5,13,94.2,70,72.2,90,12.3,601+,25.5,465,85.3
24,20,AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,L,FC,VH,4,A,97.1,26,82.6,66,47.9,319,87.8,44,100,39,99.5,33,84.4
25,26,UNIVERSITY OF HONG KONG (HKU),Hong Kong,L,FC,VH,5,A,96.7,28,83.7,63,88.1,96,47.1,264,100,21,99.4,36,84.3
26,  21=,DUKE UNIVERSITY,United States,L,FC,VH,5,B,88.2,46,74.7,87,99.3,37,88.2,41,14.3,601+,55,260,83.9
27,27,"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",United States,XL,FC,VH,5,A,100,6,99.8,9,28.9,512,99.9,7,99.5,67,46.1,308,83.2
28,31,UNIVERSITY OF TORONTO,Canada,XL,FC,VH,5,A,98.7,18,94,35,74.8,176,47.6,254,96.4,117,92.9,88,83
29,34,THE UNIVERSITY OF MANCHESTER,United Kingdom,XL,FC,VH,5,A,94.6,33,98.5,20,76,168,51.2,221,93.2,144,98.8,46,82.9
30,  38=,PEKING UNIVERSITY,China,XL,FC,VH,5,A,99,16,99.8,10,64,229,69.4,103,68.2,251,53.8,268,82.6
31,  23=,KING'S COLLEGE LONDON (KCL),United Kingdom,L,FC,VH,5,A,87.7,47,83.2,65,85.1,118,59.9,159,98.6,86,99.7,31,82.5
32,33,"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)",United States,XL,FC,VH,4,A,100,8,99.1,17,41.8,372,92.4,29,56.1,310,42,336,81.9
33,32,MCGILL UNIVERSITY,Canada,L,FC,VH,5,A,91.4,36,93.1,39,73,183,58.3,175,90.4,162,96.2,73,81.7
34,  28=,NORTHWESTERN UNIVERSITY,United States,L,FC,VH,5,B,85,55,73.1,90,99.8,28,68.4,109,72,240,54.8,263,81.5
35,  36=,KYOTO UNIVERSITY,Japan,L,FC,VH,5,A,98.6,22,93.2,38,95.7,57,56.6,184,17.4,568,18.2,544,81.2
36,  36=,SEOUL NATIONAL UNIVERSITY (SNU),South Korea,L,FC,VH,4,A,96.2,30,92.7,41,87.7,102,66.5,120,22.1,506,14,601+,80.6
37,30,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),Hong Kong,M,CO,VH,3,A,83.6,57,73,91,61.8,241,89,38,100,15,87.9,114,80.5
38,35,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),United Kingdom,M,SP,VH,5,A,84.2,56,99.9,8,47,329,84.6,51,100,28,100,7,80.2
39,  41=,THE UNIVERSITY OF MELBOURNE,Australia,XL,FC,VH,5,A,99,15,98.8,19,26.5,548,76.4,76,97.6,103,99.9,24,80.1
40,  41=,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,South Korea,M,CO,VH,3,A,83.2,58,78.3,81,79.5,152,98.5,16,26.4,473,9.8,601+,78.7
41,  38=,"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)",United States,XL,FC,VH,4,A,91.7,35,56.1,139,62.1,238,84.5,52,64.9,264,70.7,189,78.6
42,50,THE UNIVERSITY OF SYDNEY,Australia,XL,FC,VH,5,A,97.2,25,97,24,24.9,570,72.7,88,100,42,99.8,29,78.3
43,52,NEW YORK UNIVERSITY (NYU),United States,XL,FC,VH,5,B,95.6,31,91.3,46,97.3,50,23.7,498,28.4,463,90.9,101,77.7
44,40,FUDAN UNIVERSITY,China,XL,FC,VH,5,A,81.8,61,95.9,31,84.7,119,58.6,173,89.3,170,39.2,353,77.6
45,45,THE UNIVERSITY OF NEW SOUTH WALES (UNSW),Australia,XL,FC,VH,4,A,90.4,37,96.7,26,23.8,592,81.6,58,100,37,97.4,60,77
46,  47=,CARNEGIE MELLON UNIVERSITY,United States,L,FC,VH,5,B,78.5,65,79,79,45.7,336,95.4,24,78.3,215,100,20,76.6
47,51,UNIVERSITY OF BRITISH COLUMBIA,Canada,XL,FC,VH,5,A,96.7,29,88.1,51,37.6,408,60.7,150,92.2,150,77.7,157,75.8
48,  47=,THE UNIVERSITY OF QUEENSLAND (UQ),Australia,XL,FC,VH,5,A,87.3,48,79.9,76,29.9,501,83.4,55,100,35,97.6,57,75.7
49,46,THE CHINESE UNIVERSITY OF HONG KONG (CUHK),Hong Kong,L,FC,VH,4,A,86.1,52,62.7,117,75.9,171,49.5,239,100,52,91.2,100,75.6
50,,PSL UNIVERSITY,France,L,CO,VH,1,A,80.3,62,99.3,15,99.9,24,26.6,464,67.7,254,84.2,129,75.1
51,44,UNIVERSITY OF BRISTOL,United Kingdom,L,FC,VH,5,A,75.6,72,89.4,50,75.9,170,63.8,130,84.4,193,66.4,212,74.9
52,54,DELFT UNIVERSITY OF TECHNOLOGY,Netherlands,L,CO,VH,5,A,69.3,83,83.9,61,48.5,313,90.2,34,98.6,85,86.7,121,73.3
53,55,UNIVERSITY OF WISCONSIN-MADISON,United States,XL,FC,VH,5,A,88.5,44,51.2,164,87.4,104,52.6,208,58.8,298,30.6,424,73.2
54,57,THE UNIVERSITY OF WARWICK,United Kingdom,L,FC,VH,4,A,73.8,74,96.1,29,62.4,236,56.1,189,98.4,91,99.3,37,72.9
55,49,CITY UNIVERSITY OF HONG KONG,Hong Kong,M,CO,VH,3,A,55.6,129,39.2,235,90.9,83,88.7,39,100,20,97.3,62,72.1
56,53,BROWN UNIVERSITY,United States,M,FC,VH,5,B,62.5,104,52.7,156,81.2,143,89.8,35,88.1,176,58.3,252,72
57,58,UNIVERSITY OF AMSTERDAM,Netherlands,L,FC,VH,5,A,79.2,64,51.8,161,58.5,266,81.6,60,80.1,208,40.3,345,71.1
58,56,TOKYO INSTITUTE OF TECHNOLOGY,Japan,M,CO,VH,5,A,74.6,73,80,75,90.4,86,59.8,161,31,445,27.1,454,71
  59=,60,MONASH UNIVERSITY,Australia,XL,FC,VH,4,A,86.7,51,93.1,40,15.3,601+,65.9,122,100,45,99,39,70.4
  59=,62,SHANGHAI JIAO TONG UNIVERSITY,China,XL,FC,VH,5,A,77.8,69,96.1,28,39.4,392,85,50,77.4,217,15.6,582,70.4
61,64,TECHNISCHE UNIVERSITƒT M‹NCHEN,Germany,XL,CO,VH,5,A,78.1,68,98.3,21,88.8,90,23.9,493,59.5,294,63.9,222,70
62,66,LUDWIG-MAXIMILIANS-UNIVERSITƒT M‹NCHEN,Germany,XL,FC,VH,5,A,90,39,84.4,59,51.8,294,47.1,263,60.2,292,38.8,357,69.4
63,67,UNIVERSITY OF TEXAS AT AUSTIN,United States,XL,FC,VH,5,A,93.8,34,78.1,84,14.7,601+,94.1,27,7.3,601+,20.4,518,68.7
64,68,RUPRECHT-KARLS-UNIVERSITƒT HEIDELBERG,Germany,L,FC,VH,5,A,78.4,67,55.4,143,91.4,81,36.8,348,53.6,318,52.4,273,68
65,59,ECOLE POLYTECHNIQUE,France,S,CO,VH,5,A,46.8,163,99.7,12,99.9,25,47.3,262,95.4,127,95.8,75,67.9
66,61,UNIVERSITY OF WASHINGTON,United States,XL,FC,VH,5,A,85,54,46.5,188,21,601+,99.5,12,58.6,299,38.4,359,67.8
67,63,OSAKA UNIVERSITY,Japan,L,FC,VH,4,A,79.4,63,70.5,99,81.3,142,52.2,211,23.9,496,15.5,584,67.7
68,87,ZHEJIANG UNIVERSITY,China,XL,FC,VH,5,A,65.6,95,85,56,60.9,248,69.2,105,86.9,183,45.1,313,67.5
  69=,70,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),United States,L,CO,VH,5,A,73.5,75,74.6,88,23.5,597,100,6,42.4,364,70.9,187,67.4
  69=,65,UNIVERSITY OF GLASGOW,United Kingdom,L,FC,VH,5,A,70.4,80,59.6,127,60.7,250,57.2,180,94.3,134,96.7,68,67.4
71,69,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,United States,XL,FC,VH,5,A,89.1,42,53.6,151,15.9,601+,90.7,32,20.7,522,70,191,67
72,  76=,NATIONAL TAIWAN UNIVERSITY (NTU),Taiwan,XL,FC,VH,4,A,88.6,43,70.7,98,40.2,381,68.7,107,16.6,578,19.8,529,66.3
73,75,UNIVERSIDAD DE BUENOS AIRES,Argentina,XL,FC,VH,5,A,86.1,53,91.6,45,79.1,153,2.5,601+,53.4,319,68.5,199,66.2
74,  78=,DURHAM UNIVERSITY,United Kingdom,L,FC,VH,5,A,57.1,122,94.1,33,38,404,82.5,57,95.5,125,87.5,117,65.7
  75=,,SORBONNE UNIVERSITY,France,XL,FC,VH,1,A,88.4,45,46.6,187,59.4,261,39.7,326,41.4,371,54.6,264,64.8
  75=,  82=,THE UNIVERSITY OF SHEFFIELD,United Kingdom,L,FC,VH,5,A,61,109,64.1,113,64.5,227,58.8,171,88.9,173,94.2,85,64.8
77,  76=,TOHOKU UNIVERSITY,Japan,L,FC,VH,5,A,68.7,85,61.8,121,98.4,46,45.7,274,14.5,601+,18.2,545,64.3
78,  73=,UNIVERSITY OF ZURICH,Switzerland,L,FC,VH,5,A,55.6,130,70.8,96,99,44,31.8,410,100,46,59.2,247,63.6
  79=,  84=,UNIVERSITY OF BIRMINGHAM,United Kingdom,L,FC,VH,5,A,63.6,100,84.9,57,53.6,288,48.5,248,91.5,155,88.2,113,63.5
  79=,  73=,UNIVERSITY OF COPENHAGEN,Denmark,XL,FC,VH,5,A,67.2,87,47,183,99.9,21,28.8,443,91.6,154,28,447,63.5
81,  71=,KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,XL,FC,VH,5,A,76.5,71,60.8,123,13.4,601+,87.1,47,89.6,168,39.8,350,63.4
82,  84=,THE UNIVERSITY OF NOTTINGHAM,United Kingdom,L,FC,VH,5,A,61.3,108,79.5,77,60.4,254,47.5,258,93.5,139,83.8,131,63.1
  83=,  71=,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),South Korea,S,FO,VH,3,B,38.7,199,49.2,170,99.8,30,99.6,10,46.6,343,5.4,601+,63
  83=,80,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",United States,L,FC,VH,5,A,68.1,86,43.1,211,95.5,60,49.6,236,31.7,441,12.7,601+,63
85,  82=,THE UNIVERSITY OF AUCKLAND,New Zealand,L,FC,VH,5,A,82.7,60,59.4,129,21.3,601+,52.3,210,87,182,91.3,95,62.8
86,  90=,KOREA UNIVERSITY,South Korea,L,FC,VH,5,B,66.7,91,84.7,58,86.8,109,34.8,365,16.9,576,44.2,321,62.7
  87=,89,RICE UNIVERSITY,United States,M,FC,VH,5,B,38.7,198,18.5,488,85.6,113,96,20,89.6,167,85.3,124,62.6
  87=,  114=,UNIVERSITI MALAYA (UM),Malaysia,L,FC,VH,5,A,63.9,99,57.7,135,93.5,74,32.6,399,55.9,311,61.2,237,62.6
89,86,OHIO STATE UNIVERSITY,United States,XL,FC,VH,5,A,64.8,97,55.6,142,81.7,140,41.3,315,81.8,201,41.2,339,62.4
90,  95=,LOMONOSOV MOSCOW STATE UNIVERSITY,Russia,XL,FO,VH,5,A,71.3,79,78.2,83,99.7,31,6.7,601+,16.6,579,73.1,173,62.3
91,  93=,THE UNIVERSITY OF WESTERN AUSTRALIA (UWA),Australia,L,FC,VH,5,A,60,112,58.6,131,24,584,88.4,40,100,29,94.7,81,62.2
92,  78=,LUND UNIVERSITY,Sweden,L,FC,VH,5,A,67.2,88,52.6,157,57.4,271,51.2,220,89.6,169,71.8,181,62.1
  93=,81,BOSTON UNIVERSITY,United States,L,FC,VH,5,B,62.4,105,66,106,70.8,192,51.9,215,28.6,461,87,119,62
  93=,101,UNIVERSITY OF LEEDS,United Kingdom,XL,FC,VH,5,A,67.1,89,83.8,62,49.9,305,41.7,313,84.6,191,81.6,141,62
95,  93=,PENNSYLVANIA STATE UNIVERSITY,United States,XL,FC,VH,5,A,77.7,70,70.4,100,26.8,542,77.8,69,14.1,601+,40.3,344,61.9
96,  102=,UNIVERSITY OF SOUTHAMPTON,United Kingdom,L,FC,VH,5,A,53.1,136,53.4,152,65.5,222,62.4,136,95.3,130,89.4,108,61.6
97,92,UNIVERSITY OF ST ANDREWS,United Kingdom,M,FC,VH,5,A,43.2,181,47.7,181,69,206,77,73,99,74,99.9,25,61.4
98,97,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,China,L,CO,VH,4,A,53.7,135,35.9,262,74.2,178,98.4,17,15.9,583,5.9,601+,60.8
99,104,EINDHOVEN UNIVERSITY OF TECHNOLOGY,Netherlands,M,FO,VH,4,A,29.7,275,51.2,165,82.1,136,94.9,25,97.7,99,47.5,302,59.8
  100=,105,PURDUE UNIVERSITY,United States,XL,FC,VH,5,A,65.7,92,60.7,124,35.2,431,58.3,176,97.5,104,69.2,195,59.5
  100=,108,SUNGKYUNKWAN UNIVERSITY,South Korea,L,FC,VH,5,B,55,132,81.8,69,88.3,95,43.5,295,21.1,514,34,396,59.5
  100=,118,"UNIVERSITY OF CALIFORNIA, DAVIS (UCD)",United States,XL,FC,VH,5,A,71.4,78,40.4,227,33.8,450,73.5,83,56.7,305,49.5,292,59.5
  100=,100,WASHINGTON UNIVERSITY IN ST. LOUIS,United States,L,FC,VH,5,B,43.4,179,18.7,485,99.8,29,67.2,115,74.1,231,60.1,242,59.5
  104=,  98=,"KTH, ROYAL INSTITUTE OF TECHNOLOGY",Sweden,L,CO,VH,5,A,45.5,170,69.5,101,60.5,253,75.2,78,95.1,131,42.6,331,59.3
  104=,88,TRINITY COLLEGE DUBLIN (TCD),Ireland,L,FC,VH,5,A,58.8,117,55.6,141,39.9,387,63.1,132,98.7,83,91.2,96,59.3
106,  95=,THE HONG KONG POLYTECHNIC UNIVERSITY,Hong Kong,L,CO,VH,2,A,58,120,39.3,234,65.2,224,49.2,241,99.6,64,78.6,155,59.1
107,106,YONSEI UNIVERSITY,South Korea,L,FC,VH,5,B,59.8,114,81.6,71,86.1,111,33.4,380,17.2,571,38,363,58.9
108,  98=,UNIVERSITY OF GENEVA,Switzerland,L,FC,VH,5,A,48,157,27.8,353,56.9,274,75,79,100,34,98.6,47,58.4
109,  90=,UNIVERSITY OF ALBERTA,Canada,XL,FC,VH,5,A,56.9,124,45.7,193,60.7,249,48.5,247,93.4,141,81.3,142,58.1
110,  102=,UNIVERSITY OF HELSINKI,Finland,L,CO,VH,5,A,61.7,106,46.9,184,74.8,177,51,224,56.7,304,8.2,601+,57.9
111,  116=,NAGOYA UNIVERSITY,Japan,L,FC,VH,5,A,60.9,110,45.7,192,95.8,55,35.4,359,17.8,566,21,507,57.3
112,  116=,TECHNICAL UNIVERSITY OF DENMARK,Denmark,M,FO,VH,5,A,27.8,303,30.4,320,99.9,22,69.6,102,99.3,72,79.4,150,57.1
113,  122=,UNIVERSIDAD NACIONAL AUT”NOMA DE M…XICO (UNAM),Mexico,XL,FC,VH,5,A,89.3,41,87.1,53,50.8,302,4,601+,20.4,530,3.9,601+,56.8
114,  109=,THE UNIVERSITY OF ADELAIDE,Australia,L,FC,VH,5,A,56.8,125,46.7,185,31.1,492,65.2,126,97,112,99,40,56.6
115,132,UNIVERSITY OF SOUTHERN CALIFORNIA,United States,XL,FC,VH,5,B,57,123,51.4,162,40.4,380,66.9,116,45.5,349,87.1,118,56.2
116,107,"KIT, KARLSRUHER INSTITUT F‹R TECHNOLOGIE",Germany,L,CO,VH,4,A,46,167,92.4,44,38.3,400,71,94,61.6,281,63.3,227,55.9
117,112,UPPSALA UNIVERSITY,Sweden,L,FC,VH,5,A,63.3,101,37.1,250,47.3,325,58.9,169,62.2,278,45.3,311,55.8
118,121,UNIVERSIDADE DE S√O PAULO (USP),Brazil,XL,FC,VH,4,A,87.2,49,80.4,73,28.2,527,30.7,419,9.6,601+,4.3,601+,55.5
119,127,QUEEN MARY UNIVERSITY OF LONDON (QMUL),United Kingdom,L,FC,VH,5,A,50,149,42.4,215,48.2,316,57.5,179,97.2,108,99.5,32,55.4
120,113,UNIVERSITY OF GRONINGEN,Netherlands,L,FC,VH,5,A,47.7,158,30.3,322,62.7,235,53.6,201,93.6,137,99.4,35,55.2
121,120,HUMBOLDT-UNIVERSITƒT ZU BERLIN,Germany,XL,FC,HI,5,A,86.9,50,57.8,134,13.6,601+,33.9,374,60.7,285,36.9,372,55.1
  122=,  109=,LEIDEN UNIVERSITY,Netherlands,L,FC,VH,5,A,65.1,96,29.1,336,33.6,455,65.4,125,78.5,213,43.3,325,55
  122=,  114=,NANJING UNIVERSITY,China,XL,FC,VH,5,A,58.5,119,41.2,223,26.2,550,87.8,45,75.3,224,16.3,572,55
124,  109=,UTRECHT UNIVERSITY,Netherlands,XL,FC,VH,5,A,59.8,113,37.7,243,46.4,333,69.3,104,46.1,345,25.1,468,54.5
125,124,WAGENINGEN UNIVERSITY,Netherlands,L,FO,VH,5,A,37.3,211,18.1,494,95.8,56,60.6,151,38.4,392,86.6,122,54.4
  126=,128,KYUSHU UNIVERSITY,Japan,L,FC,VH,5,A,54.8,133,56.6,138,89.8,88,32.4,401,17.7,567,21.5,504,54.1
  126=,129,"UNIVERSITY OF MARYLAND, COLLEGE PARK",United States,XL,FC,VH,5,A,54.8,134,29.1,335,52.5,290,78,67,30.6,447,29,441,54.1
  128=,133,CHALMERS UNIVERSITY OF TECHNOLOGY,Sweden,M,CO,VH,5,B,28.8,290,67.3,105,69.4,201,69,106,94,135,56.1,257,53.6
  128=,  122=,HOKKAIDO UNIVERSITY,Japan,L,FC,VH,5,A,55.5,131,54.6,148,87.2,107,33.3,382,19.5,541,14.6,601+,53.6
130,  125=,FREIE UNIVERSITƒT BERLIN,Germany,XL,FC,HI,4,A,78.4,66,49.1,171,6.8,601+,49.6,237,64,271,50.5,289,53.4
131,  135=,LANCASTER UNIVERSITY,United Kingdom,L,FC,HI,4,A,38.8,197,32.8,290,51.6,297,70.4,98,95.4,126,98.1,51,53
  132=,  137=,PONTIFICIA UNIVERSIDAD CAT”LICA DE CHILE,Chile,L,FC,HI,5,B,83,59,93.4,37,32.6,470,12.1,601+,20,537,5.1,601+,52.9
  132=,134,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA (UCSB)",United States,L,CO,VH,5,A,64.6,98,16.7,501+,13,601+,95.5,23,50.6,326,20.8,508,52.9
134,  135=,UNIVERSITY OF YORK,United Kingdom,L,FC,VH,4,A,42.9,182,44.2,203,57.9,269,55.6,192,92,152,68.2,200,52.4
135,  142=,UNIVERSITY OF OSLO,Norway,L,FC,VH,5,A,49.2,151,26.1,373,69.9,198,47.8,253,82.6,199,36.5,375,51.9
136,  142=,UNIVERSITY OF PITTSBURGH,United States,L,FC,VH,5,A,44.5,176,20.5,455,98.7,45,47.5,257,29.5,454,22.6,490,51.8
137,177,CENTRALESUP…LEC,France,S,FO,VH,1,A,17.4,473,100,6,87.7,101,43.1,298,74.3,227,90.6,102,51.5
138,  125=,UNIVERSITY OF GHENT,Belgium,XL,FC,VH,5,A,48.9,152,33,287,83.2,125,37.3,346,62.8,274,20.3,521,51.3
139,167,UNIVERSITY OF BERN,Switzerland,M,CO,VH,5,A,28.8,288,34.6,277,54.7,285,88.1,43,100,43,48.3,298,51.1
140,  137=,AALTO UNIVERSITY,Finland,M,FO,VH,1,A,36.4,216,48.2,178,56.6,276,68.6,108,85.4,188,39.4,352,50.8
  141=,119,AARHUS UNIVERSITY,Denmark,L,FC,VH,4,A,49.6,150,48.6,175,51.5,298,50.7,228,85,189,23.7,478,50.7
  141=,  149=,MICHIGAN STATE UNIVERSITY,United States,XL,FC,VH,5,A,61.4,107,54.8,146,19.3,601+,56.3,187,65,263,42.7,329,50.7
  141=,  161=,NEWCASTLE UNIVERSITY,United Kingdom,L,FC,VH,4,A,38.8,196,62.2,119,62.2,237,39.1,334,93,146,79.1,153,50.7
144,141,RHEINISCH-WESTFƒLISCHE TECHNISCHE HOCHSCHULE AACHEN,Germany,XL,FC,VH,5,A,56.4,126,97.7,22,21.8,601+,42.1,308,39.2,384,64.9,221,50.4
145,  137=,CARDIFF UNIVERSITY,United Kingdom,L,FC,VH,5,A,47.5,159,44.7,199,56.3,277,39.3,332,72,241,79.8,147,50.3
146,140,MCMASTER UNIVERSITY,Canada,L,FC,VH,5,A,39.5,193,44.1,206,81,145,32.9,388,97.8,97,42,335,50.1
147,144,TECHNISCHE UNIVERSITƒT BERLIN,Germany,L,CO,VH,5,A,52.3,140,80.2,74,45.6,337,34.8,364,35.2,416,60.3,240,49.9
148,  147=,EMORY UNIVERSITY,United States,L,FC,VH,5,B,27.2,310,12.3,501+,99.6,35,62,140,52.7,321,47.4,303,49.6
  149=,130,UNIVERSIT… DE MONTR…AL,Canada,XL,FC,VH,5,A,52.9,138,54.6,147,41.6,373,31.1,413,95.8,123,68,201,49.5
  149=,146,UNIVERSITY OF LAUSANNE,Switzerland,L,CO,VH,5,A,33.4,244,20.9,451,82.3,133,44.2,287,99.5,65,72.7,175,49.5
  151=,155,HANYANG UNIVERSITY,South Korea,L,FC,VH,4,B,43.5,178,67.8,103,78.6,155,30.6,421,27.6,470,37.3,370,49.4
  151=,  173=,UNIVERSITY OF LIVERPOOL,United Kingdom,L,FC,VH,5,A,40,191,37.6,244,72.3,186,31.3,411,81.1,206,94.6,83,49.4
153,157,…COLE NORMALE SUP…RIEURE DE LYON,France,S,CO,VH,5,A,37.5,208,11.7,501+,99.3,39,40.8,319,71,245,26.3,459,49.2
  154=,145,HEBREW UNIVERSITY OF JERUSALEM,Israel,L,FC,VH,5,A,40.1,189,31.9,295,81.8,139,46.8,270,67.1,255,13.8,601+,49.1
  154=,  158=,UNIVERSITY OF EXETER,United Kingdom,L,FC,VH,4,A,36.5,215,65.1,109,36.4,418,58.8,170,92.9,147,83.3,133,49.1
  156=,170,POLITECNICO DI MILANO,Italy,XL,FO,VH,5,A,57.1,121,85.9,55,7.5,601+,55.8,190,45.8,347,44.3,320,48.7
  156=,163,UNIVERSITY OF MINNESOTA,United States,XL,FC,VH,5,A,66.9,90,25.6,380,27.3,533,61.8,145,8.1,601+,21.5,505,48.7
158,160,UNIVERSITY OF BATH,United Kingdom,L,CO,VH,4,A,35.5,221,71.6,95,28.3,523,59.9,158,97.4,106,91.2,98,48.6
159,187,UNIVERSIDAD AUT”NOMA DE MADRID,Spain,L,FC,VH,4,A,63.2,102,69,102,47.8,320,23.7,499,11.6,601+,25.7,462,48.5
  160=,  149=,UNIVERSITY OF BASEL,Switzerland,L,FC,VH,5,A,29.9,273,23.4,407,31.6,483,92,30,100,25,84.7,125,48.4
  160=,176,UNIVERSITY OF TECHNOLOGY SYDNEY (UTS),Australia,L,CO,VH,3,A,41.3,187,83.5,64,11.7,601+,57,182,98.8,80,94.4,84,48.4
162,  179=,INDIAN INSTITUTE OF TECHNOLOGY BOMBAY (IITB),India,M,CO,VH,4,A,52.5,139,72.9,93,43.3,359,54.1,199,4.4,601+,1.8,601+,48.2
  163=,  161=,NATIONAL TSING HUA UNIVERSITY,Taiwan,L,CO,VH,4,A,44.5,175,47,182,25.9,559,88.2,42,32.5,437,17.9,549,48
  163=,152,UNIVERSITY OF WATERLOO,Canada,XL,CO,VH,4,A,38,203,70.7,97,9.2,601+,77.9,68,79.6,210,83.9,130,48
165,153,UNIVERSIT… CATHOLIQUE DE LOUVAIN (UCL),Belgium,L,FC,VH,5,B,48.6,154,45.6,194,15.6,601+,67.6,113,90.8,161,52.3,274,47.9
166,156,UNIVERSITAT DE BARCELONA (UB),Spain,XL,FC,VH,5,A,69.9,81,48.9,174,34,444,30.1,426,6.4,601+,32.7,406,47.8
167,  192=,SCUOLA SUPERIORE SANT'ANNA PISA,Italy,S,FC,VH,3,A,14.9,501+,9,501+,94.4,68,97.1,18,2.1,601+,46.1,309,47.7
