2018,2017,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
19,18,UNIVERSITY OF PENNSYLVANIA,United States,L,FC,VH,5,B,97.4,34,94.9,48,100,15,67.4,124,67.1,233,64.5,213,88.7
20,22,AUSTRALIAN NATIONAL UNIVERSITY (ANU),Australia,L,FC,VH,4,A,99.3,24,90.4,60,55.3,250,85.6,49,100,33,98.8,45,87.1
  21=,  24=,DUKE UNIVERSITY,United States,L,FC,VH,5,B,94,47,78.1,99,98.1,42,91.4,38,14.2,401+,56.6,253,87
  21=,23,UNIVERSITY OF MICHIGAN,United States,XL,FC,VH,5,A,99.7,19,92.2,58,89.6,78,66.7,126,78,204,51.2,279,87
  23=,21,KING'S COLLEGE LONDON (KCL),United Kingdom,L,FC,VH,5,A,92.8,53,92.4,57,87.6,84,64.8,132,97.4,88,99.2,34,86.9
  23=,19,UNIVERSITY OF EDINBURGH,United Kingdom,L,FC,VH,5,A,99.1,28,96.6,37,83.2,108,55.5,189,94.9,116,98.6,48,86.9
25,  24=,TSINGHUA UNIVERSITY,China,XL,FC,VH,5,A,99.2,26,99.6,16,86.7,86,75.3,87,42.1,344,25.6,401+,85.6
26,27,UNIVERSITY OF HONG KONG (HKU),Hong Kong,L,FC,VH,5,A,99.1,27,93.4,52,85.3,95,46.3,271,100,18,99.4,32,85.5
27,28,"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",United States,XL,FC,VH,5,A,100,3,99.9,9,36.2,358,99.3,13,97.7,85,54.6,267,84.9
  28=,26,NORTHWESTERN UNIVERSITY,United States,L,FC,VH,5,B,91.3,58,76.6,107,98.6,37,75.4,86,57.9,271,55,265,84.8
  28=,34,THE UNIVERSITY OF TOKYO,Japan,L,FC,VH,5,A,100,7,99.8,14,92.6,68,73.3,97,9.7,401+,20.2,401+,84.8
30,36,THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),Hong Kong,M,CO,VH,3,A,93,52,87.2,71,54.9,256,87.7,47,100,17,93,87,84.3
31,32,UNIVERSITY OF TORONTO,Canada,XL,FC,VH,5,A,99.7,17,95.6,41,74.5,150,50,233,97,99,92.1,91,84
32,30,MCGILL UNIVERSITY,Canada,L,FC,VH,5,A,96.9,35,96.1,40,69.4,169,61.4,157,88.9,149,95.6,75,83.9
33,31,"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)",United States,XL,FC,VH,4,A,100,8,99.4,22,43.7,306,97.5,19,54,293,50,290,83.6
34,29,THE UNIVERSITY OF MANCHESTER,United Kingdom,XL,FC,VH,5,A,97.4,33,99.4,21,75.4,144,47.5,259,89.3,148,98.3,51,83
35,  37=,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),United Kingdom,M,SP,VH,5,A,90.3,59,100,7,55.9,248,71.7,102,100,22,100,7,81.8
  36=,  37=,KYOTO UNIVERSITY,Japan,L,FC,VH,5,A,99.7,18,94.9,47,95.7,54,56.4,185,13.1,401+,17.1,401+,81.5
  36=,35,SEOUL NATIONAL UNIVERSITY (SNU),South Korea,L,FC,VH,4,A,98.9,30,97.4,31,79.8,120,70.6,104,23,401+,16,401+,81.5
  38=,39,PEKING UNIVERSITY,China,XL,FC,VH,5,A,99.8,14,99.9,12,66.6,183,61.7,153,52.8,300,48.5,298,80.8
  38=,40,"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)",United States,XL,FC,VH,4,A,96,37,61.3,164,58.9,229,90.3,41,64.6,242,59.9,240,80.8
40,43,FUDAN UNIVERSITY,China,L,FC,VH,5,A,91.4,57,97.1,35,76.1,140,63.7,138,79.5,193,45.2,316,80.6
  41=,  46=,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,South Korea,M,CO,VH,3,A,89.4,61,87.4,70,70.1,167,99.5,11,25.2,401+,10,401+,80.4
  41=,42,THE UNIVERSITY OF MELBOURNE,Australia,XL,FC,VH,5,A,99.8,15,99.5,20,26.2,401+,77.2,79,94.7,120,99.7,27,80.4
43,33,"ECOLE NORMALE SUP…RIEURE, PARIS (ENS PARIS)",France,S,SP,VH,5,B,80.2,80,78.6,97,60.4,219,100,7,94.4,123,60.4,238,79.9
44,41,UNIVERSITY OF BRISTOL,United Kingdom,L,FC,VH,5,A,85.7,68,95.5,44,79.2,125,56.4,184,87.9,158,79.2,154,79.5
45,  49=,THE UNIVERSITY OF NEW SOUTH WALES (UNSW),Australia,XL,FC,VH,4,A,96.4,36,98.4,26,22.4,401+,79.8,68,100,38,97.8,55,78.9
46,44,THE CHINESE UNIVERSITY OF HONG KONG (CUHK),Hong Kong,L,FC,VH,4,A,94.3,46,83.3,87,66,188,50.7,228,99.8,53,84.9,126,78.8
  47=,58,CARNEGIE MELLON UNIVERSITY,United States,L,FC,VH,5,B,85,69,85.1,79,43.2,313,95.6,29,62.3,249,100,19,78.6
  47=,  51=,THE UNIVERSITY OF QUEENSLAND (UQ),Australia,XL,FC,VH,5,A,94.6,43,84.1,84,30.8,401+,83.4,55,100,30,87.3,113,78.6
49,55,CITY UNIVERSITY OF HONG KONG,Hong Kong,M,CO,VH,3,A,70.8,113,50.5,226,83.6,105,91.5,37,100,15,97.5,58,78.4
50,  46=,THE UNIVERSITY OF SYDNEY,Australia,XL,FC,VH,5,A,99.3,25,98.3,28,21.4,401+,70.3,109,100,39,98.1,52,78
51,45,UNIVERSITY OF BRITISH COLUMBIA,Canada,XL,FC,VH,5,A,99.1,29,95.5,43,37.9,340,63.7,137,91.5,134,72.2,179,77.9
52,  46=,NEW YORK UNIVERSITY (NYU),United States,XL,FC,VH,5,B,97.9,31,92.6,56,95.5,55,23.4,401+,14.5,401+,84.1,130,77.3
53,  49=,BROWN UNIVERSITY,United States,M,FC,VH,5,B,72.5,106,56.9,188,80.3,117,92.5,34,80.2,191,60.9,236,76.5
54,62,DELFT UNIVERSITY OF TECHNOLOGY,Netherlands,L,CO,VH,5,A,79.7,83,91,59,36.7,355,91.6,36,97.7,84,87.4,112,76.1
55,  53=,UNIVERSITY OF WISCONSIN-MADISON,United States,XL,FC,VH,5,A,94,49,62.1,160,84,102,54.2,199,53.2,296,30.9,401+,75.8
56,56,TOKYO INSTITUTE OF TECHNOLOGY,Japan,M,CO,VH,5,A,83.1,72,83.7,85,90.1,77,62.4,147,26.5,401+,24.4,401+,74.8
57,  51=,THE UNIVERSITY OF WARWICK,United Kingdom,L,FC,VH,4,A,83.5,71,98.9,24,51.2,271,54.1,200,98,79,99,40,74.4
58,57,UNIVERSITY OF AMSTERDAM,Netherlands,L,FC,VH,5,A,90.1,60,66.1,145,45.2,300,83.5,54,75.4,208,38.9,363,74.3
59,  53=,ECOLE POLYTECHNIQUE,France,S,CO,VH,5,A,61.2,153,99.9,10,99.3,32,50.8,227,96.4,104,90.8,95,74
60,65,MONASH UNIVERSITY,Australia,XL,FC,VH,4,A,93.6,51,95.2,46,11.9,401+,68.5,118,100,43,97.7,56,73.1
61,59,UNIVERSITY OF WASHINGTON,United States,XL,FC,VH,5,A,92.3,55,56.7,190,28,401+,98.8,16,57.2,275,39.4,360,72.9
62,61,SHANGHAI JIAO TONG UNIVERSITY,China,XL,FC,VH,5,A,87,66,97.4,32,36.7,356,81.5,62,69.2,225,13.4,401+,72.5
63,  63=,OSAKA UNIVERSITY,Japan,L,FC,VH,4,A,88.5,63,75.4,112,71.9,158,63.1,142,21.5,401+,18.9,401+,72.1
64,60,TECHNISCHE UNIVERSITƒT M‹NCHEN,Germany,XL,CO,VH,5,A,86.3,67,98.7,25,86.4,88,26.6,401+,53,299,44.8,318,72
65,  63=,UNIVERSITY OF GLASGOW,United Kingdom,L,FC,VH,5,A,80.4,79,66.6,141,60.7,216,55.5,190,90.5,142,96.6,65,71.6
66,  68=,LUDWIG-MAXIMILIANS-UNIVERSITƒT M‹NCHEN,Germany,XL,FC,VH,5,A,95.8,38,88.2,65,38.9,334,55.1,194,54.8,286,38.6,365,70.8
67,67,UNIVERSITY OF TEXAS AT AUSTIN,United States,XL,FC,VH,5,A,97.6,32,82.1,91,13.5,401+,95.7,28,6.3,401+,20.9,401+,70.6
68,72,RUPRECHT-KARLS-UNIVERSITƒT HEIDELBERG,Germany,L,FC,VH,5,A,87.6,65,76.5,108,76.6,138,34.8,365,50.5,308,55.2,264,70.4
69,66,UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,United States,XL,FC,VH,5,A,95.1,41,59.8,176,14.2,401+,93.5,33,20.4,401+,71.2,184,70.3
70,71,GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),United States,L,CO,VH,5,A,79.1,84,79.4,95,31.7,401+,99.1,15,11.7,401+,72.1,180,70.1
  71=,79,KATHOLIEKE UNIVERSITEIT LEUVEN ,Belgium,XL,FC,VH,5,A,88.1,64,78,101,10.4,401+,88.9,44,84.8,175,41.6,341,69.4
  71=,83,POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),South Korea,S,FO,VH,3,B,50.9,190,65.6,148,99.5,31,99.8,10,42.4,342,6.2,401+,69.4
  73=,  68=,UNIVERSITY OF COPENHAGEN,Denmark,XL,FC,VH,5,A,81.7,76,54.2,205,99.9,21,26.9,401+,84.9,173,26.5,401+,69.2
  73=,80,UNIVERSITY OF ZURICH,Switzerland,L,FC,VH,5,A,68.3,125,78.1,100,98.1,43,31.9,394,100,44,59.2,245,69.2
75,  85=,UNIVERSIDAD DE BUENOS AIRES,Argentina,XL,FC,VH,5,A,94.5,44,95.5,45,75.1,147,2.6,401+,50.3,309,70.6,189,69.1
  76=,  68=,NATIONAL TAIWAN UNIVERSITY (NTU),Taiwan,XL,FC,VH,4,A,95.6,40,74.2,116,33.3,392,74.1,93,14.5,401+,20.6,401+,69
  76=,  75=,TOHOKU UNIVERSITY,Japan,L,FC,VH,5,A,78.3,85,66,146,98.1,44,48.4,251,14.3,401+,18.1,401+,69
  78=,74,DURHAM UNIVERSITY,United Kingdom,L,FC,VH,5,A,66.8,128,97.1,34,37.5,344,76.3,82,94.8,117,87.8,109,68.5
  78=,73,LUND UNIVERSITY,Sweden,L,FC,VH,5,A,80,81,71.8,123,53.7,261,51.8,218,88.3,152,73.8,171,68.5
80,78,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",United States,L,FC,VH,5,A,77.5,88,48.1,250,86.9,85,61.5,156,28.5,401+,14.1,401+,67.8
81,89,BOSTON UNIVERSITY,United States,L,FC,VH,5,B,71.3,112,78.5,98,66.4,185,59.8,160,22.1,401+,86.5,116,67.2
  82=,81,THE UNIVERSITY OF AUCKLAND,New Zealand,L,FC,VH,5,A,92.2,56,77.3,103,19.4,401+,48.1,255,85.5,169,89.6,103,67
  82=,84,THE UNIVERSITY OF SHEFFIELD,United Kingdom,L,FC,VH,5,A,69.8,116,69.9,131,64.3,197,50.1,232,83.6,176,96.8,64,67
  84=,  75=,THE UNIVERSITY OF NOTTINGHAM,United Kingdom,L,FC,VH,5,A,69.9,115,87.5,69,59.5,226,46.3,269,89.5,147,86.5,118,66.8
  84=,82,UNIVERSITY OF BIRMINGHAM,United Kingdom,L,FC,VH,5,A,74.7,97,88.6,64,48.2,280,47.2,262,90.9,138,86,123,66.8
86,88,OHIO STATE UNIVERSITY,United States,XL,FC,VH,5,A,75.3,95,60.6,172,77.7,132,40.3,314,79.3,199,44.7,319,66.1
87,110,ZHEJIANG UNIVERSITY,China,XL,FC,VH,5,A,74,101,87.1,72,37.2,349,80.2,67,54.2,290,25.9,401+,65.9
88,  98=,TRINITY COLLEGE DUBLIN (TCD),Ireland,L,FC,VH,5,A,73.8,102,68.9,136,30.7,401+,68.3,120,98.4,70,89.5,104,65.7
89,90,RICE UNIVERSITY,United States,M,FC,VH,5,B,45.5,221,23.8,401+,83.9,103,96.7,24,87.5,162,87.7,110,65.6
  90=,  98=,KOREA UNIVERSITY,South Korea,L,FC,VH,5,B,76.8,90,88.1,66,82.8,108,32.8,383,17.6,401+,36.7,379,65.5
  90=,94,UNIVERSITY OF ALBERTA,Canada,XL,FC,VH,5,A,73,104,61.1,166,56.6,239,49.6,239,93,128,82.4,137,65.5
92,77,UNIVERSITY OF ST ANDREWS,United Kingdom,M,FC,VH,5,A,53,180,57.1,187,72,157,69.6,112,98,77,99.9,22,65.3
  93=,  95=,PENNSYLVANIA STATE UNIVERSITY,United States,XL,FC,VH,5,A,84.6,70,75.1,114,25,401+,80.2,66,10.4,401+,42.9,329,65.2
  93=,  102=,THE UNIVERSITY OF WESTERN AUSTRALIA (UWA),Australia,L,FC,VH,5,A,71.6,110,64.1,150,24.7,401+,82.3,58,100,34,72.9,175,65.2
  95=,108,LOMONOSOV MOSCOW STATE UNIVERSITY ,Russia,XL,FO,VH,5,A,82,75,79.6,94,99.7,29,6.3,401+,9.5,401+,48.7,297,65
  95=,111,THE HONG KONG POLYTECHNIC UNIVERSITY,Hong Kong,L,CO,VH,2,A,70.2,114,52.4,213,58,234,54.5,198,100,45,80.2,148,65
97,  104=,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,China,L,CO,VH,4,A,62.9,144,57.9,183,67.6,179,96.7,23,14.4,401+,5.2,401+,64.9
  98=,97,"KTH, ROYAL INSTITUTE OF TECHNOLOGY",Sweden,L,CO,VH,5,A,57.2,162,87,74,62.5,206,70,110,88.1,155,42,336,64.7
  98=,  95=,UNIVERSITY OF GENEVA,Switzerland,L,FC,VH,5,A,57.7,160,41.4,311,55.1,252,82.1,59,100,31,98.9,42,64.7
100,  106=,WASHINGTON UNIVERSITY IN ST. LOUIS,United States,L,FC,VH,5,B,51,189,24.8,401+,99.6,30,78.3,74,57.8,272,62.4,226,64.6
101,93,UNIVERSITY OF LEEDS,United Kingdom,L,FC,VH,5,A,74.4,100,86.9,75,47,286,42.3,300,79.4,194,81.3,143,64.5
  102=,91,UNIVERSITY OF HELSINKI,Finland,L,CO,VH,5,A,76.4,92,51.4,218,83.4,107,41.5,308,53.6,294,9,401+,63.9
  102=,87,UNIVERSITY OF SOUTHAMPTON,United Kingdom,L,FC,VH,5,A,62.1,151,58.4,181,62.6,204,56,186,92.7,130,95.3,78,63.9
104,  121=,EINDHOVEN UNIVERSITY OF TECHNOLOGY,Netherlands,M,FO,VH,4,A,39.1,264,54.4,204,93.1,63,83.3,56,98.4,72,43.8,323,63.6
105,92,PURDUE UNIVERSITY,United States,XL,FC,VH,5,A,73.7,103,70.7,127,31.6,401+,58,172,97.2,97,73.7,172,63.2
106,112,YONSEI UNIVERSITY,South Korea,L,FC,VH,5,B,71.8,109,87.7,67,79.6,121,31.8,397,14.9,401+,32.6,401+,62.3
107,  98=,"KIT, KARLSRUHER INSTITUT F‹R TECHNOLOGIE",Germany,L,CO,VH,4,A,57.2,163,96.8,36,47,287,69.8,111,61.1,260,55.5,261,61.9
108,  106=,SUNGKYUNKWAN UNIVERSITY,South Korea,L,FC,VH,5,B,62.4,148,96.5,39,85.1,96,37.9,338,17.7,401+,27.6,401+,61.6
  109=,  102=,LEIDEN UNIVERSITY,Netherlands,L,FC,VH,5,A,77.9,87,42.1,303,33.7,389,70.9,103,69.2,226,33,401+,61.5
  109=,125,THE UNIVERSITY OF ADELAIDE,Australia,L,FC,VH,5,A,73,105,58.5,178,28.5,401+,55.2,193,93.3,127,98.8,46,61.5
  109=,  104=,UTRECHT UNIVERSITY,Netherlands,XL,FC,VH,5,A,74.6,98,43.6,289,41.8,321,75.5,85,57.2,274,17.3,401+,61.5
112,  98=,UPPSALA UNIVERSITY,Sweden,L,FC,VH,5,A,75.7,93,49.4,234,46.2,295,56.5,182,46.7,321,64.1,215,61.4
113,  113=,UNIVERSITY OF GRONINGEN,Netherlands,L,FC,VH,5,A,60.9,154,36.3,361,65.3,191,53.6,202,89.7,146,99.1,39,61.3
  114=,  115=,NANJING UNIVERSITY,China,XL,FC,VH,5,A,69.5,119,66.2,144,23.8,401+,85.3,50,69.7,224,18.4,401+,60.8
  114=,  133=,UNIVERSITI MALAYA (UM),Malaysia,L,FC,VH,5,A,65.7,134,57.5,184,87.8,82,24.3,401+,65.4,238,59.7,242,60.8
  116=,  115=,NAGOYA UNIVERSITY,Japan,L,FC,VH,5,A,68.9,122,51.5,217,93.5,62,37,346,14.3,401+,20.5,401+,60.7
  116=,109,TECHNICAL UNIVERSITY OF DENMARK,Denmark,M,FO,VH,5,A,35.4,301,38.5,335,99.8,27,69.3,115,99.2,61,75.7,164,60.7
118,  85=,"UNIVERSITY OF CALIFORNIA, DAVIS (UCD)",United States,XL,FC,VH,5,A,80.7,78,47.1,265,36.1,360,61.6,155,42,345,33.3,399,60.4
119,117,AARHUS UNIVERSITY,Denmark,L,FC,VH,4,A,66.1,129,54.6,201,34.3,384,74.6,89,72.1,216,37.9,374,59.3
120,  121=,HUMBOLDT-UNIVERSITƒT ZU BERLIN,Germany,XL,FC,HI,5,A,94,48,73.4,119,13.6,401+,33.6,374,55.2,283,38.4,368,59.2
121,120,UNIVERSIDADE DE S√O PAULO (USP),Brazil,XL,FC,VH,4,A,94.8,42,90.2,61,31.4,401+,25.7,401+,8.4,401+,4.8,401+,59.1
  122=,130,HOKKAIDO UNIVERSITY,Japan,L,FC,VH,5,A,68.5,124,59.5,177,85,97,35.1,361,15.1,401+,14.2,401+,59
  122=,128,UNIVERSIDAD NACIONAL AUT”NOMA DE M…XICO (UNAM),Mexico,XL,FC,VH,5,A,95.8,39,89.6,62,50.9,272,3.8,401+,11,401+,2.6,401+,59
124,119,WAGENINGEN UNIVERSITY,Netherlands,L,FO,VH,4,A,45.2,224,35.3,375,97.9,45,56.7,181,32.8,384,88.8,107,58.7
  125=,  123=,FREIE UNIVERSITƒT BERLIN,Germany,XL,FC,HI,4,A,88.7,62,61.4,163,7.2,401+,48.3,253,60.2,263,51.1,280,58.4
  125=,  131=,UNIVERSITY OF GHENT,Belgium,XL,FC,VH,5,A,62.4,147,47.3,261,69.4,170,55.3,191,49.7,312,22.9,401+,58.4
127,  123=,QUEEN MARY UNIVERSITY OF LONDON (QMUL),United Kingdom,L,FC,VH,5,A,56.2,168,49.7,231,61,213,43.3,293,98,80,99.6,30,58.3
128,135,KYUSHU UNIVERSITY,Japan,L,FC,VH,5,A,63.6,140,62,161,91.1,74,31.9,395,16.4,401+,19.9,401+,58.2
129,  131=,"UNIVERSITY OF MARYLAND, COLLEGE PARK",United States,XL,FC,VH,5,A,63.8,139,33.2,397,55,254,75.8,84,26.1,401+,33.1,401+,58.1
130,126,UNIVERSIT… DE MONTR…AL ,Canada,XL,FC,VH,5,A,67.2,126,73.5,118,24,401+,49.9,234,91.3,136,79.4,153,57.7
131,  141=,UNIVERSIT… PIERRE ET MARIE CURIE (UPMC),France,L,CO,VH,5,A,63,142,53.5,209,34.5,381,81,64,23.3,401+,50.7,283,57.5
132,136,UNIVERSITY OF SOUTHERN CALIFORNIA,United States,XL,FC,VH,5,B,64.8,135,55,199,27.8,401+,70.4,107,44.6,332,75.8,163,57.2
133,139,CHALMERS UNIVERSITY OF TECHNOLOGY,Sweden,M,CO,VH,5,B,42.1,242,75.7,109,60.5,218,70.3,108,84.9,174,44.2,320,57.1
134,118,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA (UCSB)",United States,L,CO,VH,5,A,75.7,94,18.8,401+,9.2,401+,97.5,20,47.2,318,18.7,401+,56.9
  135=,129,LANCASTER UNIVERSITY,United Kingdom,L,FC,HI,4,A,50.2,193,47.1,266,46.2,293,63.2,140,91.2,137,98,53,56.3
  135=,127,UNIVERSITY OF YORK,United Kingdom,L,FC,VH,4,A,52.2,183,50.2,228,58.9,230,53,205,90.9,139,66.2,199,56.3
  137=,  133=,AALTO UNIVERSITY,Finland,L,FO,VH,5,A,46.5,214,53.5,208,65.1,193,63.8,134,81,189,41,346,56
  137=,140,CARDIFF UNIVERSITY,United Kingdom,L,FC,VH,5,A,57.1,164,63,154,56.6,238,39.5,325,70.9,223,79.6,151,56
  137=,147,PONTIFICIA UNIVERSIDAD CAT”LICA DE CHILE,Chile,L,FC,HI,5,B,92.4,54,94.6,49,30.3,401+,11.4,401+,16.8,401+,5.6,401+,56
140,  149=,MCMASTER UNIVERSITY,Canada,L,FC,VH,5,A,51.8,185,57.2,186,77.2,134,35.7,357,92.8,129,40.5,349,55.8
141,146,RHEINISCH-WESTFƒLISCHE TECHNISCHE HOCHSCHULE AACHEN,Germany,XL,FC,VH,5,A,71.3,111,98.4,27,20.9,401+,42.1,302,32.6,385,58.8,246,55.6
  142=,  113=,UNIVERSITY OF OSLO,Norway,L,FC,VH,5,A,62.8,145,41.5,309,51.7,268,48.9,246,78.4,201,42.4,333,55.5
  142=,145,UNIVERSITY OF PITTSBURGH,United States,L,FC,VH,5,A,51,188,27.5,401+,97.7,47,51.3,221,24.3,401+,25.2,401+,55.5
144,  164=,TECHNISCHE UNIVERSITƒT BERLIN,Germany,L,CO,VH,5,A,64.2,136,84.9,80,53.1,263,27.2,401+,34.6,375,63.2,222,55.2
145,148,HEBREW UNIVERSITY OF JERUSALEM,Israel,L,FC,VH,4,A,55.6,170,36.4,359,77,136,50.4,230,53.4,295,10.7,401+,54.7
146,138,UNIVERSITY OF LAUSANNE,Switzerland,L,CO,VH,5,A,41.9,245,42.8,298,91.2,72,30.9,401+,99.6,55,79.6,152,54.5
  147=,  149=,EMORY UNIVERSITY,United States,L,FC,VH,5,B,35.5,300,15.8,401+,97.5,49,70.5,105,49,313,48.3,301,54.4
  147=,144,ERASMUS UNIVERSITY ROTTERDAM,Netherlands,L,FO,VH,5,A,46.8,212,70.3,130,34.7,377,74.3,92,62.1,252,71.7,182,54.4
  149=,  160=,MICHIGAN STATE UNIVERSITY,United States,XL,FC,VH,5,A,68.6,123,60.7,171,16.4,401+,59.5,165,61.7,255,47.2,308,54.3
  149=,  141=,UNIVERSITY OF BASEL,Switzerland,L,FC,VH,5,A,40.9,253,39.1,328,29.1,401+,94.4,32,100,20,84.9,125,54.3
151,169,UNIVERSITY OF OTAGO,New Zealand,L,FC,VH,5,A,63.9,137,49.9,229,18.9,401+,57.2,174,100,28,65.7,207,54.2
152,  152=,UNIVERSITY OF WATERLOO,Canada,XL,CO,VH,4,A,48.8,202,82.4,90,8.5,401+,80.9,65,77.6,205,80.7,147,53.7
153,154,UNIVERSIT… CATHOLIQUE DE LOUVAIN (UCL),Belgium,L,FC,VH,5,B,62.7,146,63,156,19.8,401+,54.6,197,88.7,151,55.4,262,53.6
154,155,UNIVERSITƒT WIEN,Austria,XL,FC,VH,5,A,75.2,96,51.2,219,22.9,401+,19.4,401+,97.1,98,93.8,84,53.3
155,171,HANYANG UNIVERSITY,South Korea,L,FC,VH,4,B,53.5,178,72.6,121,76.3,139,29.7,401+,25.3,401+,38.8,364,53.2
156,  160=,UNIVERSITAT DE BARCELONA (UB),Spain,XL,FC,VH,5,A,80,82,60.7,170,30.6,401+,33.4,375,4.7,401+,33.7,395,52.9
157,  177=,ECOLE NORMALE SUP…RIEURE DE LYON ,France,S,CO,VH,5,A,48.9,200,31.1,401+,99.8,24,30.1,401+,57,276,24.6,401+,52.8
  158=,  141=,UNIVERSITY OF ABERDEEN,United Kingdom,L,FC,HI,5,A,39.6,260,45.7,274,53.7,260,59,167,95.5,112,97.5,59,52.7
  158=,  164=,UNIVERSITY OF EXETER,United Kingdom,L,FC,VH,4,A,47.2,209,70.6,128,31.1,401+,58.6,169,89.8,145,84.3,129,52.7
160,159,UNIVERSITY OF BATH,United Kingdom,L,CO,VH,4,A,45.3,223,80.9,92,28.2,401+,56.9,176,94.5,122,90.4,96,52.6
  161=,151,NATIONAL TSING HUA UNIVERSITY,Taiwan,L,CO,VH,4,A,56.4,167,50.8,223,22.4,401+,90.2,42,24.9,401+,16.7,401+,52.4
  161=,168,NEWCASTLE UNIVERSITY,United Kingdom,L,FC,VH,4,A,42.6,235,66.4,143,56.5,240,42.9,296,90.4,143,83.9,131,52.4
163,137,UNIVERSITY OF MINNESOTA,United States,XL,FC,VH,5,A,76.8,91,34.9,379,18.6,401+,63.1,143,6.6,401+,24.6,401+,52.2
  164=,167,EBERHARD KARLS UNIVERSITƒT T‹BINGEN,Germany,L,FC,VH,5,A,55.8,169,49.8,230,80.1,118,20.4,401+,55.2,282,36.9,376,52.1
  164=,  177=,UNIVERSITY OF BERGEN,Norway,M,FC,VH,4,A,42,243,20.6,401+,81,114,59.7,161,86.4,166,13,401+,52.1
